,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,AnzahlLinks
0,0,1.0,0.0,0.0,0.1,-30,-30,644
5,0,1.0,0.0,0.0,0.1,-30,0,644
17,0,1.0,0.0,0.0,0.1,-18,0,644
21,0,1.0,0.0,0.0,0.1,-12,-12,644
23,0,1.0,0.0,0.0,0.1,-12,0,644
31,0,1.0,0.0,0.0,0.1,0,-24,644
33,0,1.0,0.0,0.0,0.1,0,-12,644
34,0,1.0,0.0,0.0,0.1,0,-6,644
65,0,1.0,0.0,0.0,0.3,-6,0,644
66,0,1.0,0.0,0.0,0.3,0,-30,644
111,0,1.0,0.0,0.0,0.7,-30,-12,644
136,0,1.0,0.0,0.0,0.7,-6,-6,644
137,0,1.0,0.0,0.0,0.7,-6,0,644
140,0,1.0,0.0,0.0,0.7,0,-18,644
148,0,1.0,0.0,0.0,0.9,-30,-6,644
158,0,1.0,0.0,0.0,0.9,-18,-18,644
167,0,1.0,0.0,0.0,0.9,-12,0,644
174,0,1.0,0.0,0.0,0.9,0,-30,644
175,0,1.0,0.0,0.0,0.9,0,-24,644
176,0,1.0,0.0,0.0,0.9,0,-18,644
1,1,0.0,0.0,0.0,0.1,-30,-24,644
2,1,0.0,0.0,0.0,0.1,-30,-18,644
3,1,0.0,0.0,0.0,0.1,-30,-12,644
4,1,0.0,0.0,0.0,0.1,-30,-6,644
6,1,0.0,0.0,0.0,0.1,-24,-30,644
7,1,0.0,0.0,0.0,0.1,-24,-24,644
8,1,0.0,0.0,0.0,0.1,-24,-18,644
9,1,0.0,0.0,0.0,0.1,-24,-12,644
10,1,0.0,0.0,0.0,0.1,-24,-6,644
11,1,0.0,0.0,0.0,0.1,-24,0,644
12,1,0.0,0.0,0.0,0.1,-18,-30,644
13,1,0.0,0.0,0.0,0.1,-18,-24,644
15,1,0.0,0.0,0.0,0.1,-18,-12,644
16,1,0.0,0.0,0.0,0.1,-18,-6,644
18,1,0.0,0.0,0.0,0.1,-12,-30,644
19,1,0.0,0.0,0.0,0.1,-12,-24,644
20,1,0.0,0.0,0.0,0.1,-12,-18,644
22,1,0.0,0.0,0.0,0.1,-12,-6,644
24,1,0.0,0.0,0.0,0.1,-6,-30,644
25,1,0.0,0.0,0.0,0.1,-6,-24,644
26,1,0.0,0.0,0.0,0.1,-6,-18,644
27,1,0.0,0.0,0.0,0.1,-6,-12,644
28,1,0.0,0.0,0.0,0.1,-6,-6,644
29,1,0.0,0.0,0.0,0.1,-6,0,644
30,1,0.0,0.0,0.0,0.1,0,-30,644
32,1,0.0,0.0,0.0,0.1,0,-18,644
35,1,0.0,0.0,0.0,0.1,0,0,644
36,1,0.0,0.0,0.0,0.3,-30,-30,644
37,1,0.0,0.0,0.0,0.3,-30,-24,644
38,1,0.0,0.0,0.0,0.3,-30,-18,644
39,1,0.0,0.0,0.0,0.3,-30,-12,644
41,1,0.0,0.0,0.0,0.3,-30,0,644
42,1,0.0,0.0,0.0,0.3,-24,-30,644
43,1,0.0,0.0,0.0,0.3,-24,-24,644
44,1,0.0,0.0,0.0,0.3,-24,-18,644
45,1,0.0,0.0,0.0,0.3,-24,-12,644
46,1,0.0,0.0,0.0,0.3,-24,-6,644
47,1,0.0,0.0,0.0,0.3,-24,0,644
48,1,0.0,0.0,0.0,0.3,-18,-30,644
49,1,0.0,0.0,0.0,0.3,-18,-24,644
50,1,0.0,0.0,0.0,0.3,-18,-18,644
51,1,0.0,0.0,0.0,0.3,-18,-12,644
52,1,0.0,0.0,0.0,0.3,-18,-6,644
53,1,0.0,0.0,0.0,0.3,-18,0,644
54,1,0.0,0.0,0.0,0.3,-12,-30,644
55,1,0.0,0.0,0.0,0.3,-12,-24,644
56,1,0.0,0.0,0.0,0.3,-12,-18,644
57,1,0.0,0.0,0.0,0.3,-12,-12,644
58,1,0.0,0.0,0.0,0.3,-12,-6,644
59,1,0.0,0.0,0.0,0.3,-12,0,644
60,1,0.0,0.0,0.0,0.3,-6,-30,644
61,1,0.0,0.0,0.0,0.3,-6,-24,644
62,1,0.0,0.0,0.0,0.3,-6,-18,644
63,1,0.0,0.0,0.0,0.3,-6,-12,644
64,1,0.0,0.0,0.0,0.3,-6,-6,644
67,1,0.0,0.0,0.0,0.3,0,-24,644
68,1,0.0,0.0,0.0,0.3,0,-18,644
69,1,0.0,0.0,0.0,0.3,0,-12,644
70,1,0.0,0.0,0.0,0.3,0,-6,644
71,1,0.0,0.0,0.0,0.3,0,0,644
72,1,0.0,0.0,0.0,0.5,-30,-30,644
73,1,0.0,0.0,0.0,0.5,-30,-24,644
74,1,0.0,0.0,0.0,0.5,-30,-18,644
75,1,0.0,0.0,0.0,0.5,-30,-12,644
76,1,0.0,0.0,0.0,0.5,-30,-6,644
77,1,0.0,0.0,0.0,0.5,-30,0,644
78,1,0.0,0.0,0.0,0.5,-24,-30,644
79,1,0.0,0.0,0.0,0.5,-24,-24,644
80,1,0.0,0.0,0.0,0.5,-24,-18,644
81,1,0.0,0.0,0.0,0.5,-24,-12,644
82,1,0.0,0.0,0.0,0.5,-24,-6,644
83,1,0.0,0.0,0.0,0.5,-24,0,644
84,1,0.0,0.0,0.0,0.5,-18,-30,644
85,1,0.0,0.0,0.0,0.5,-18,-24,644
86,1,0.0,0.0,0.0,0.5,-18,-18,644
87,1,0.0,0.0,0.0,0.5,-18,-12,644
88,1,0.0,0.0,0.0,0.5,-18,-6,644
89,1,0.0,0.0,0.0,0.5,-18,0,644
90,1,0.0,0.0,0.0,0.5,-12,-30,644
91,1,0.0,0.0,0.0,0.5,-12,-24,644
92,1,0.0,0.0,0.0,0.5,-12,-18,644
93,1,0.0,0.0,0.0,0.5,-12,-12,644
94,1,0.0,0.0,0.0,0.5,-12,-6,644
95,1,0.0,0.0,0.0,0.5,-12,0,644
96,1,0.0,0.0,0.0,0.5,-6,-30,644
97,1,0.0,0.0,0.0,0.5,-6,-24,644
98,1,0.0,0.0,0.0,0.5,-6,-18,644
99,1,0.0,0.0,0.0,0.5,-6,-12,644
100,1,0.0,0.0,0.0,0.5,-6,-6,644
101,1,0.0,0.0,0.0,0.5,-6,0,644
102,1,0.0,0.0,0.0,0.5,0,-30,644
103,1,0.0,0.0,0.0,0.5,0,-24,644
104,1,0.0,0.0,0.0,0.5,0,-18,644
105,1,0.0,0.0,0.0,0.5,0,-12,644
106,1,0.0,0.0,0.0,0.5,0,-6,644
107,1,0.0,0.0,0.0,0.5,0,0,644
108,1,0.0,0.0,0.0,0.7,-30,-30,644
109,1,0.0,0.0,0.0,0.7,-30,-24,644
110,1,0.0,0.0,0.0,0.7,-30,-18,644
112,1,0.0,0.0,0.0,0.7,-30,-6,644
113,1,0.0,0.0,0.0,0.7,-30,0,644
114,1,0.0,0.0,0.0,0.7,-24,-30,644
115,1,0.0,0.0,0.0,0.7,-24,-24,644
116,1,0.0,0.0,0.0,0.7,-24,-18,644
117,1,0.0,0.0,0.0,0.7,-24,-12,644
118,1,0.0,0.0,0.0,0.7,-24,-6,644
119,1,0.0,0.0,0.0,0.7,-24,0,644
120,1,0.0,0.0,0.0,0.7,-18,-30,644
121,1,0.0,0.0,0.0,0.7,-18,-24,644
122,1,0.0,0.0,0.0,0.7,-18,-18,644
123,1,0.0,0.0,0.0,0.7,-18,-12,644
124,1,0.0,0.0,0.0,0.7,-18,-6,644
126,1,0.0,0.0,0.0,0.7,-12,-30,644
127,1,0.0,0.0,0.0,0.7,-12,-24,644
128,1,0.0,0.0,0.0,0.7,-12,-18,644
129,1,0.0,0.0,0.0,0.7,-12,-12,644
130,1,0.0,0.0,0.0,0.7,-12,-6,644
132,1,0.0,0.0,0.0,0.7,-6,-30,644
133,1,0.0,0.0,0.0,0.7,-6,-24,644
134,1,0.0,0.0,0.0,0.7,-6,-18,644
135,1,0.0,0.0,0.0,0.7,-6,-12,644
138,1,0.0,0.0,0.0,0.7,0,-30,644
139,1,0.0,0.0,0.0,0.7,0,-24,644
141,1,0.0,0.0,0.0,0.7,0,-12,644
142,1,0.0,0.0,0.0,0.7,0,-6,644
143,1,0.0,0.0,0.0,0.7,0,0,644
153,1,0.0,0.0,0.0,0.9,-24,-12,644
154,1,0.0,0.0,0.0,0.9,-24,-6,644
159,1,0.0,0.0,0.0,0.9,-18,-12,644
160,1,0.0,0.0,0.0,0.9,-18,-6,644
165,1,0.0,0.0,0.0,0.9,-12,-12,644
166,1,0.0,0.0,0.0,0.9,-12,-6,644
173,1,0.0,0.0,0.0,0.9,-6,0,644
177,1,0.0,0.0,0.0,0.9,0,-12,644
179,1,0.0,0.0,0.0,0.9,0,0,644
125,2,2.0,0.0,0.0,0.7,-18,0,644
131,2,2.0,0.0,0.0,0.7,-12,0,644
149,2,2.0,0.0,0.0,0.9,-30,0,644
155,2,2.0,0.0,0.0,0.9,-24,0,644
161,2,2.0,0.0,0.0,0.9,-18,0,644
178,2,2.0,0.0,0.0,0.9,0,-6,644
144,3,0.0,0.0,1.0,0.9,-30,-30,644
145,3,0.0,0.0,1.0,0.9,-30,-24,644
146,3,0.0,0.0,1.0,0.9,-30,-18,644
147,3,0.0,0.0,1.0,0.9,-30,-12,644
150,3,0.0,0.0,1.0,0.9,-24,-30,644
151,3,0.0,0.0,1.0,0.9,-24,-24,644
152,3,0.0,0.0,1.0,0.9,-24,-18,644
156,3,0.0,0.0,1.0,0.9,-18,-30,644
157,3,0.0,0.0,1.0,0.9,-18,-24,644
162,3,0.0,0.0,1.0,0.9,-12,-30,644
163,3,0.0,0.0,1.0,0.9,-12,-24,644
164,3,0.0,0.0,1.0,0.9,-12,-18,644
168,3,0.0,0.0,1.0,0.9,-6,-30,644
169,3,0.0,0.0,1.0,0.9,-6,-24,644
170,3,0.0,0.0,1.0,0.9,-6,-18,644
171,3,0.0,0.0,1.0,0.9,-6,-12,644
172,3,0.0,0.0,1.0,0.9,-6,-6,644
14,-1,3.0,0.0,0.0,0.1,-18,-18,644
40,-1,13.0,0.0,0.0,0.3,-30,-6,644
